Mes,Ruta,Cantidad de viajes
1,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM",45562
1,"TULTITLAN,EM → TULTITLAN,EM",35008
1,"TULTITLAN,EM → CUAUTITLAN,EM/",28683
1,"TULTITLAN,EM → JILOTEPEC,EM",27667
1,"TLALNEPANTLA,EM/ → APASEO EL ALTO,GJ",27343
2,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM",43946
2,"TULTITLAN,EM → TULTITLAN,EM",30548
2,"TULTITLAN,EM → CUAUTITLAN,EM/",26100
2,"TULTITLAN,EM → JILOTEPEC,EM",25149
2,"TLALNEPANTLA,EM/ → APASEO EL ALTO,GJ",16640
3,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM",10134
3,"TULTITLAN,EM → TULTITLAN,EM",7421
3,"TULTITLAN,EM → CUAUTITLAN,EM/",6678
3,"TULTITLAN,EM → JILOTEPEC,EM",6298
3,"TLALNEPANTLA,EM/ → APASEO EL ALTO,GJ",4216
10,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM",56454
10,"TULTITLAN,EM → TULTITLAN,EM",33262
10,"TULTITLAN,EM → CUAUTITLAN,EM/",26998
10,"TULTITLAN,EM → JILOTEPEC,EM",26212
10,"TLALNEPANTLA,EM/ → APASEO EL ALTO,GJ",19460
11,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM",46790
11,"TULTITLAN,EM → TULTITLAN,EM",30035
11,"TULTITLAN,EM → CUAUTITLAN,EM/",24348
11,"TULTITLAN,EM → JILOTEPEC,EM",23403
11,"TLALNEPANTLA,EM/ → APASEO EL ALTO,GJ",17892
12,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM",47904
12,"TULTITLAN,EM → TULTITLAN,EM",34335
12,"TULTITLAN,EM → CUAUTITLAN,EM/",26524
12,"TULTITLAN,EM → JILOTEPEC,EM",25749
12,"TLALNEPANTLA,EM/ → APASEO EL ALTO,GJ",14735
